check,passed,detail
80个货箱各交付一次,True,"rows=80, unique=80"
交付服务区一致,True,逐箱服务区与原始清单比对
架次货箱不重不漏,True,box_count_sum=80
Q2-001质量体积,True,"17.000000/25.000000 kg, 0.039000/0.060000 m3"
Q2-001返航能量,True,1.905383300 <= 3.600000000 kWh
Q2-001算术复算,True,"dE=1.61e-12, dt=3.33e-09, dCmax=3.33e-09"
Q2-002质量体积,True,"17.000000/25.000000 kg, 0.039000/0.060000 m3"
Q2-002返航能量,True,2.290878348 <= 3.600000000 kWh
Q2-002算术复算,True,"dE=3.32e-12, dt=3.33e-09, dCmax=3.33e-09"
Q2-003质量体积,True,"17.000000/25.000000 kg, 0.039000/0.060000 m3"
Q2-003返航能量,True,2.920017685 <= 3.600000000 kWh
Q2-003算术复算,True,"dE=-4.86e-12, dt=-3.33e-09, dCmax=3.33e-09"
Q2-004质量体积,True,"8.000000/25.000000 kg, 0.028000/0.060000 m3"
Q2-004返航能量,True,1.867964973 <= 3.600000000 kWh
Q2-004算术复算,True,"dE=-3.19e-12, dt=-6.66e-10, dCmax=2.67e-09"
Q2-005质量体积,True,"20.000000/30.000000 kg, 0.051000/0.073000 m3"
Q2-005返航能量,True,1.073972258 <= 3.200000000 kWh
Q2-005算术复算,True,"dE=3.37e-12, dt=-2.67e-09, dCmax=3.33e-10"
Q2-006质量体积,True,"17.000000/30.000000 kg, 0.039000/0.073000 m3"
Q2-006返航能量,True,1.098747295 <= 3.200000000 kWh
Q2-006算术复算,True,"dE=-1.08e-13, dt=-2.67e-09, dCmax=3.33e-10"
Q2-007质量体积,True,"64.000000/80.000000 kg, 0.172000/0.250000 m3"
Q2-007返航能量,True,6.105796953 <= 6.400000000 kWh
Q2-007算术复算,True,"dE=1.03e-12, dt=-1.67e-09, dCmax=1.67e-09"
Q2-008质量体积,True,"17.000000/80.000000 kg, 0.039000/0.250000 m3"
Q2-008返航能量,True,3.149860646 <= 6.400000000 kWh
Q2-008算术复算,True,"dE=-4.97e-12, dt=-4e-09, dCmax=2.27e-13"
Q2-009质量体积,True,"25.000000/30.000000 kg, 0.067000/0.073000 m3"
Q2-009返航能量,True,1.824828191 <= 3.200000000 kWh
Q2-009算术复算,True,"dE=3.59e-13, dt=2e-09, dCmax=5.33e-09"
Q2-010质量体积,True,"25.000000/30.000000 kg, 0.067000/0.073000 m3"
Q2-010返航能量,True,2.752599954 <= 3.200000000 kWh
Q2-010算术复算,True,"dE=-2.31e-12, dt=3.33e-09, dCmax=6.67e-09"
Q2-011质量体积,True,"8.000000/25.000000 kg, 0.028000/0.060000 m3"
Q2-011返航能量,True,2.188492622 <= 3.600000000 kWh
Q2-011算术复算,True,"dE=2.44e-12, dt=3.33e-09, dCmax=3.33e-09"
Q2-012质量体积,True,"67.000000/80.000000 kg, 0.148000/0.250000 m3"
Q2-012返航能量,True,6.324499391 <= 6.400000000 kWh
Q2-012算术复算,True,"dE=1.85e-12, dt=0, dCmax=0"
Q2-013质量体积,True,"59.000000/80.000000 kg, 0.156000/0.250000 m3"
Q2-013返航能量,True,6.152860129 <= 6.400000000 kWh
Q2-013算术复算,True,"dE=2.91e-12, dt=-3.33e-09, dCmax=3.33e-09"
Q2-014质量体积,True,"25.000000/30.000000 kg, 0.067000/0.073000 m3"
Q2-014返航能量,True,2.307528506 <= 3.200000000 kWh
Q2-014算术复算,True,"dE=3.88e-12, dt=4.67e-09, dCmax=1.33e-09"
Q2-015质量体积,True,"25.000000/30.000000 kg, 0.067000/0.073000 m3"
Q2-015返航能量,True,2.096265402 <= 3.200000000 kWh
Q2-015算术复算,True,"dE=-2.52e-12, dt=-3.33e-09, dCmax=3.33e-09"
Q2-016质量体积,True,"45.000000/80.000000 kg, 0.129000/0.250000 m3"
Q2-016返航能量,True,5.836020668 <= 6.400000000 kWh
Q2-016算术复算,True,"dE=2.86e-12, dt=3.33e-09, dCmax=6.67e-09"
Q2-017质量体积,True,"25.000000/30.000000 kg, 0.067000/0.073000 m3"
Q2-017返航能量,True,1.073936686 <= 3.200000000 kWh
Q2-017算术复算,True,"dE=2.73e-12, dt=-8.67e-09, dCmax=8.67e-09"
Q2-018质量体积,True,"59.000000/80.000000 kg, 0.156000/0.250000 m3"
Q2-018返航能量,True,4.222137373 <= 6.400000000 kWh
Q2-018算术复算,True,"dE=-3.37e-12, dt=-3.33e-09, dCmax=3.33e-09"
Q2-019质量体积,True,"14.000000/30.000000 kg, 0.063000/0.073000 m3"
Q2-019返航能量,True,2.424255403 <= 3.200000000 kWh
Q2-019算术复算,True,"dE=3.78e-12, dt=-6.67e-09, dCmax=9.09e-13"
Q2-020质量体积,True,"78.000000/80.000000 kg, 0.163000/0.250000 m3"
Q2-020返航能量,True,2.995775805 <= 6.400000000 kWh
Q2-020算术复算,True,"dE=3.14e-13, dt=2.33e-09, dCmax=1.67e-09"
Q2-021质量体积,True,"70.000000/80.000000 kg, 0.207000/0.250000 m3"
Q2-021返航能量,True,4.288047138 <= 6.400000000 kWh
Q2-021算术复算,True,"dE=2.97e-12, dt=-6.67e-09, dCmax=3.33e-09"
Q2-022质量体积,True,"56.000000/80.000000 kg, 0.180000/0.250000 m3"
Q2-022返航能量,True,2.405028362 <= 6.400000000 kWh
Q2-022算术复算,True,"dE=2.64e-12, dt=-7.67e-09, dCmax=1.67e-09"
机型与实体飞机一致,True,逐架次核对
飞机U01无重叠,True,1架次
飞机U02无重叠,True,1架次
飞机U03无重叠,True,1架次
飞机U04无重叠,True,2架次
飞机U05无重叠,True,4架次
飞机U06无重叠,True,4架次
飞机U07无重叠,True,5架次
飞机U08无重叠,True,4架次
电池BAT-A-01充满后复用,True,1架次
电池BAT-A-02充满后复用,True,1架次
电池BAT-A-03充满后复用,True,1架次
电池BAT-A-04充满后复用,True,1架次
电池BAT-A-05充满后复用,True,1架次
电池BAT-B-01充满后复用,True,2架次
电池BAT-B-02充满后复用,True,2架次
电池BAT-B-03充满后复用,True,2架次
电池BAT-B-04充满后复用,True,2架次
电池BAT-C-01充满后复用,True,3架次
电池BAT-C-02充满后复用,True,2架次
电池BAT-C-03充满后复用,True,2架次
电池BAT-C-04充满后复用,True,2架次
电池编号与库存一致,True,used=13
全部硬时限满足,True,min_margin=1119.550417s
最低返航SOC不低于20%,True,min_SOC=0.209437576
路线分段能耗闭合,True,逐架次分段和与计划表比对
总能耗与完工时间,True,"E=67.304897088, Tmax=9943.021474170"
