box_id,trip_id,service_id,material_type,is_urgent,first_batch,priority_weight,delivery_time_s,required_deadline_s,lateness_s,on_time
S001-FOD-01,T002,S001,应急食品,False,False,10.0,1314.2695386645796,7200.0,0.0,True
S001-FOD-02,T002,S001,应急食品,False,False,10.0,1314.2695386645796,7200.0,0.0,True
S001-FOD-03,T002,S001,应急食品,False,False,10.0,1314.2695386645796,7200.0,0.0,True
S001-HYG-01,T002,S001,生活卫生用品,False,False,8.0,1314.2695386645796,10800.0,0.0,True
S001-HYG-02,T002,S001,生活卫生用品,False,False,8.0,1314.2695386645796,10800.0,0.0,True
S001-MED-01,T001,S001,医疗物资,True,True,24.0,1248.2695386645796,3600.0,0.0,True
S001-MED-02,T001,S001,医疗物资,True,False,24.0,1248.2695386645796,3600.0,0.0,True
S001-WAT-01,T001,S001,饮用水,True,True,12.0,1248.2695386645796,3600.0,0.0,True
S001-WAT-02,T001,S001,饮用水,False,False,12.0,1248.2695386645796,3600.0,0.0,True
S001-WAT-03,T001,S001,饮用水,False,False,12.0,1248.2695386645796,3600.0,0.0,True
S001-WAT-04,T001,S001,饮用水,False,False,12.0,1248.2695386645796,3600.0,0.0,True
S001-WAT-05,T001,S001,饮用水,False,False,12.0,1248.2695386645796,3600.0,0.0,True
S001-WAT-06,T002,S001,饮用水,False,False,12.0,1314.2695386645796,3600.0,0.0,True
S001-WAT-07,T002,S001,饮用水,False,False,12.0,1314.2695386645796,3600.0,0.0,True
S001-WAT-08,T002,S001,饮用水,False,False,12.0,1314.2695386645796,3600.0,0.0,True
S002-FOD-01,T009,S002,应急食品,False,False,10.0,3049.5227117533914,7200.0,0.0,True
S002-FOD-02,T015,S002,应急食品,False,False,10.0,4907.796930352767,7200.0,0.0,True
S002-HYG-01,T021,S002,生活卫生用品,False,False,8.0,8252.592700803129,10800.0,0.0,True
S002-MED-01,T009,S002,医疗物资,True,True,24.0,3049.5227117533914,3600.0,0.0,True
S002-WAT-01,T009,S002,饮用水,True,True,12.0,3049.5227117533914,3600.0,0.0,True
S002-WAT-02,T009,S002,饮用水,False,False,12.0,3049.5227117533914,3600.0,0.0,True
S002-WAT-03,T009,S002,饮用水,False,False,12.0,3049.5227117533914,3600.0,0.0,True
S002-WAT-04,T009,S002,饮用水,False,False,12.0,3049.5227117533914,3600.0,0.0,True
S003-FOD-01,T013,S003,应急食品,False,False,8.0,4837.400403540424,10800.0,0.0,True
S003-FOD-02,T024,S003,应急食品,False,False,8.0,10078.894973896884,10800.0,0.0,True
S003-HYG-01,T019,S003,生活卫生用品,False,False,6.0,8011.724709300435,14400.0,0.0,True
S003-MED-01,T013,S003,医疗物资,True,True,20.0,4837.400403540424,7200.0,0.0,True
S003-WAT-01,T013,S003,饮用水,True,True,10.0,4837.400403540424,7200.0,0.0,True
S003-WAT-02,T013,S003,饮用水,False,False,10.0,4837.400403540424,7200.0,0.0,True
S003-WAT-03,T013,S003,饮用水,False,False,10.0,4837.400403540424,7200.0,0.0,True
S003-WAT-04,T013,S003,饮用水,False,False,10.0,4837.400403540424,7200.0,0.0,True
S004-FOD-01,T014,S004,应急食品,False,False,8.0,5255.554692419224,10800.0,0.0,True
S004-HYG-01,T014,S004,生活卫生用品,False,False,6.0,5255.554692419224,14400.0,0.0,True
S004-MED-01,T014,S004,医疗物资,True,True,20.0,5255.554692419224,7200.0,0.0,True
S004-WAT-01,T014,S004,饮用水,True,True,10.0,5255.554692419224,7200.0,0.0,True
S004-WAT-02,T014,S004,饮用水,False,False,10.0,5255.554692419224,7200.0,0.0,True
S004-WAT-03,T014,S004,饮用水,False,False,10.0,5255.554692419224,7200.0,0.0,True
