scenario,box_id,flight_id,service_id,type_id
N_T_E,S001-WAT-01,Q1-001,S001,C
N_T_E,S001-WAT-02,Q1-001,S001,C
N_T_E,S001-WAT-03,Q1-001,S001,C
N_T_E,S001-WAT-04,Q1-001,S001,C
N_T_E,S001-WAT-05,Q1-001,S001,C
N_T_E,S001-HYG-01,Q1-001,S001,C
N_T_E,S001-MED-01,Q1-002,S001,C
N_T_E,S001-MED-02,Q1-002,S001,C
N_T_E,S001-WAT-06,Q1-002,S001,C
N_T_E,S001-WAT-07,Q1-002,S001,C
N_T_E,S001-WAT-08,Q1-002,S001,C
N_T_E,S001-FOD-01,Q1-002,S001,C
N_T_E,S001-FOD-02,Q1-002,S001,C
N_T_E,S001-FOD-03,Q1-002,S001,C
N_T_E,S001-HYG-02,Q1-002,S001,C
N_T_E,S002-MED-01,Q1-003,S002,B
N_T_E,S002-WAT-01,Q1-003,S002,B
N_T_E,S002-FOD-01,Q1-003,S002,B
N_T_E,S002-WAT-02,Q1-004,S002,C
N_T_E,S002-WAT-03,Q1-004,S002,C
N_T_E,S002-WAT-04,Q1-004,S002,C
N_T_E,S002-FOD-02,Q1-004,S002,C
N_T_E,S002-HYG-01,Q1-004,S002,C
N_T_E,S003-MED-01,Q1-005,S003,B
N_T_E,S003-WAT-01,Q1-005,S003,B
N_T_E,S003-FOD-01,Q1-005,S003,B
N_T_E,S003-WAT-02,Q1-006,S003,C
N_T_E,S003-WAT-03,Q1-006,S003,C
N_T_E,S003-WAT-04,Q1-006,S003,C
N_T_E,S003-FOD-02,Q1-006,S003,C
N_T_E,S003-HYG-01,Q1-006,S003,C
N_T_E,S004-MED-01,Q1-007,S004,C
N_T_E,S004-WAT-01,Q1-007,S004,C
N_T_E,S004-WAT-02,Q1-007,S004,C
N_T_E,S004-WAT-03,Q1-007,S004,C
N_T_E,S004-FOD-01,Q1-007,S004,C
N_T_E,S004-HYG-01,Q1-007,S004,C
N_T_E,S005-MED-01,Q1-008,S005,C
N_T_E,S005-WAT-01,Q1-008,S005,C
N_T_E,S005-WAT-02,Q1-008,S005,C
N_T_E,S005-WAT-03,Q1-008,S005,C
N_T_E,S005-FOD-01,Q1-008,S005,C
N_T_E,S005-HYG-01,Q1-008,S005,C
N_T_E,S006-MED-01,Q1-009,S006,C
N_T_E,S006-WAT-01,Q1-009,S006,C
N_T_E,S006-WAT-02,Q1-009,S006,C
N_T_E,S006-WAT-03,Q1-009,S006,C
N_T_E,S006-FOD-01,Q1-009,S006,C
N_T_E,S006-HYG-01,Q1-009,S006,C
N_T_E,S007-MED-01,Q1-010,S007,C
N_T_E,S007-WAT-01,Q1-010,S007,C
N_T_E,S007-WAT-02,Q1-010,S007,C
N_T_E,S007-FOD-01,Q1-010,S007,C
N_T_E,S007-HYG-01,Q1-010,S007,C
N_T_E,S008-MED-01,Q1-011,S008,C
N_T_E,S008-WAT-01,Q1-011,S008,C
N_T_E,S008-WAT-02,Q1-011,S008,C
N_T_E,S008-FOD-01,Q1-011,S008,C
N_T_E,S008-HYG-01,Q1-011,S008,C
N_T_E,S009-MED-01,Q1-012,S009,B
N_T_E,S009-WAT-01,Q1-012,S009,B
N_T_E,S009-FOD-01,Q1-012,S009,B
N_T_E,S010-MED-01,Q1-013,S010,B
N_T_E,S010-WAT-01,Q1-013,S010,B
N_T_E,S010-FOD-01,Q1-013,S010,B
N_T_E,S011-MED-01,Q1-014,S011,B
N_T_E,S011-WAT-01,Q1-014,S011,B
N_T_E,S011-FOD-01,Q1-014,S011,B
N_T_E,S012-MED-01,Q1-015,S012,B
N_T_E,S012-WAT-01,Q1-015,S012,B
N_T_E,S012-FOD-01,Q1-015,S012,B
N_T_E,S013-MED-01,Q1-016,S013,B
N_T_E,S013-WAT-01,Q1-016,S013,B
N_T_E,S013-FOD-01,Q1-016,S013,B
N_T_E,S014-MED-01,Q1-017,S014,B
N_T_E,S014-WAT-01,Q1-017,S014,B
N_T_E,S014-FOD-01,Q1-017,S014,B
N_T_E,S015-MED-01,Q1-018,S015,B
N_T_E,S015-WAT-01,Q1-018,S015,B
N_T_E,S015-FOD-01,Q1-018,S015,B
