check,passed,detail
N_E_T80箱恰出现一次,True,
N_E_T质量体积能量时间及SOC独立复算,True,[]
E_N_T80箱恰出现一次,True,
E_N_T质量体积能量时间及SOC独立复算,True,[]
T_N_E80箱恰出现一次,True,
T_N_E质量体积能量时间及SOC独立复算,True,[]
N_T_E80箱恰出现一次,True,
N_T_E质量体积能量时间及SOC独立复算,True,[]
rho_0.00080箱恰出现一次,True,
rho_0.000质量体积能量时间及SOC独立复算,True,[]
rho_0.10080箱恰出现一次,True,
rho_0.100质量体积能量时间及SOC独立复算,True,[]
rho_0.15080箱恰出现一次,True,
rho_0.150质量体积能量时间及SOC独立复算,True,[]
rho_0.20080箱恰出现一次,True,
rho_0.200质量体积能量时间及SOC独立复算,True,[]
rho_0.22580箱恰出现一次,True,
rho_0.225质量体积能量时间及SOC独立复算,True,[]
rho_0.25080箱恰出现一次,True,
rho_0.250质量体积能量时间及SOC独立复算,True,[]
rho_0.27580箱恰出现一次,True,
rho_0.275质量体积能量时间及SOC独立复算,True,[]
rho_0.30080箱恰出现一次,True,
rho_0.300质量体积能量时间及SOC独立复算,True,[]
rho_0.32580箱恰出现一次,True,
rho_0.325质量体积能量时间及SOC独立复算,True,[]
rho_0.35080箱恰出现一次,True,
rho_0.350质量体积能量时间及SOC独立复算,True,[]
45组安全载荷满足能量边界或标称边界,True,
45条载荷曲线随安全余量单调不增,True,
742个物理模式独立枚举一致，无遗漏,True,742
S001最少架次MILP验证,True,
S001固定最少架次能耗最优MILP验证,True,
S001主方案同时达到全局最短累计作业时间,True,
S001不限架次能耗最优MILP验证,True,
S002最少架次MILP验证,True,
S002固定最少架次能耗最优MILP验证,True,
S002主方案同时达到全局最短累计作业时间,True,
S002不限架次能耗最优MILP验证,True,
S003最少架次MILP验证,True,
S003固定最少架次能耗最优MILP验证,True,
S003主方案同时达到全局最短累计作业时间,True,
S003不限架次能耗最优MILP验证,True,
S004最少架次MILP验证,True,
S004固定最少架次能耗最优MILP验证,True,
S004主方案同时达到全局最短累计作业时间,True,
S004不限架次能耗最优MILP验证,True,
S005最少架次MILP验证,True,
S005固定最少架次能耗最优MILP验证,True,
S005主方案同时达到全局最短累计作业时间,True,
S005不限架次能耗最优MILP验证,True,
S006最少架次MILP验证,True,
S006固定最少架次能耗最优MILP验证,True,
S006主方案同时达到全局最短累计作业时间,True,
S006不限架次能耗最优MILP验证,True,
S007最少架次MILP验证,True,
S007固定最少架次能耗最优MILP验证,True,
S007主方案同时达到全局最短累计作业时间,True,
S007不限架次能耗最优MILP验证,True,
S008最少架次MILP验证,True,
S008固定最少架次能耗最优MILP验证,True,
S008主方案同时达到全局最短累计作业时间,True,
S008不限架次能耗最优MILP验证,True,
S009最少架次MILP验证,True,
S009固定最少架次能耗最优MILP验证,True,
S009主方案同时达到全局最短累计作业时间,True,
S009不限架次能耗最优MILP验证,True,
S010最少架次MILP验证,True,
S010固定最少架次能耗最优MILP验证,True,
S010主方案同时达到全局最短累计作业时间,True,
S010不限架次能耗最优MILP验证,True,
S011最少架次MILP验证,True,
S011固定最少架次能耗最优MILP验证,True,
S011主方案同时达到全局最短累计作业时间,True,
S011不限架次能耗最优MILP验证,True,
S012最少架次MILP验证,True,
S012固定最少架次能耗最优MILP验证,True,
S012主方案同时达到全局最短累计作业时间,True,
S012不限架次能耗最优MILP验证,True,
S013最少架次MILP验证,True,
S013固定最少架次能耗最优MILP验证,True,
S013主方案同时达到全局最短累计作业时间,True,
S013不限架次能耗最优MILP验证,True,
S014最少架次MILP验证,True,
S014固定最少架次能耗最优MILP验证,True,
S014主方案同时达到全局最短累计作业时间,True,
S014不限架次能耗最优MILP验证,True,
S015最少架次MILP验证,True,
S015固定最少架次能耗最优MILP验证,True,
S015主方案同时达到全局最短累计作业时间,True,
S015不限架次能耗最优MILP验证,True,
"精确阶梯区间(0.0000000000,0.2308924839]中点MILP验证",True,
"精确阶梯区间(0.2308924839,0.2704974165]中点MILP验证",True,
"精确阶梯区间(0.2704974165,0.3362567058]中点MILP验证",True,
"精确阶梯区间(0.3362567058,0.3389233051]中点MILP验证",True,
"精确阶梯区间(0.3389233051,0.3437428683]中点MILP验证",True,
"精确阶梯区间(0.3437428683,0.3439036177]中点MILP验证",True,
"精确阶梯区间(0.3439036177,0.3477774519]中点MILP验证",True,
"精确阶梯区间(0.3477774519,0.3526764735]中点MILP验证",True,
最大可行余量与逐箱单飞极限独立一致,True,
临界余量上方S008确实无解,True,
18架次达到简单质量体积下界,True,
输入哈希不变 preprocessing\tables\boxes.csv,True,
输入哈希不变 preprocessing\tables\transport_types.csv,True,
输入哈希不变 preprocessing\tables\arcs.csv,True,
