seed,iteration,objective_primary,makespan_s,energy_kwh,trip_count
20260924,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260924,20,0.516328617103963,9408.443943661947,64.83172808040707,22
20260925,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260925,20,0.5158908995531455,9534.345058907296,69.52235221186811,24
20260926,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260926,20,0.516328617103963,9408.443943661947,64.83172808040707,22
20260927,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260927,20,0.516328617103963,9408.443943661947,64.83172808040707,22
20260928,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260928,20,0.5158908995531455,9534.345058907296,69.52235221186811,24
20260929,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260929,20,0.516328617103963,9408.443943661947,64.83172808040707,22
20260930,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260930,20,0.516328617103963,9408.443943661947,64.83172808040707,22
20260931,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260931,20,0.5158908995531455,9534.345058907296,69.52235221186811,24
20260932,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260932,20,0.516328617103963,9408.443943661947,64.83172808040707,22
20260933,0,0.516328617103963,9408.443943661947,64.83172808040707,22
20260933,20,0.516328617103963,9408.443943661947,64.83172808040707,22
